technique,mft_profile,immediate_compliance,retaliation_probability,insula_activation
ad_hominem,authority_dominant,0.4643,0.0015,0.15
ad_hominem,balanced_mft,0.4643,0.0015,0.15
ad_hominem,care_dominant,0.4643,0.0015,0.15
ad_hominem,conservative_mft,0.4658,0.0039,0.15
ad_hominem,fairness_dominant,0.4643,0.0015,0.15
ad_hominem,high_moral,0.4654,0.0033,0.15
ad_hominem,inverted,0.4654,0.0033,0.15
ad_hominem,liberal_mft,0.4643,0.0015,0.15
ad_hominem,liberty_dominant,0.4643,0.0015,0.15
ad_hominem,low_moral,0.4643,0.0015,0.15
ad_hominem,loyalty_dominant,0.4643,0.0015,0.15
ad_hominem,sanctity_dominant,0.4654,0.0033,0.15
anchoring,authority_dominant,0.4687,0.0,0.0
anchoring,balanced_mft,0.4687,0.0,0.0
anchoring,care_dominant,0.4687,0.0,0.0
anchoring,conservative_mft,0.4687,0.0,0.0
anchoring,fairness_dominant,0.4687,0.0,0.0
anchoring,high_moral,0.4687,0.0,0.0
anchoring,inverted,0.4687,0.0,0.0
anchoring,liberal_mft,0.4687,0.0,0.0
anchoring,liberty_dominant,0.4687,0.0,0.0
anchoring,low_moral,0.4687,0.0,0.0
anchoring,loyalty_dominant,0.4687,0.0,0.0
anchoring,sanctity_dominant,0.4687,0.0,0.0
appeal_to_ignorance,authority_dominant,0.5069,0.0,0.0667
appeal_to_ignorance,balanced_mft,0.5069,0.0,0.0667
appeal_to_ignorance,care_dominant,0.5069,0.0,0.0667
appeal_to_ignorance,conservative_mft,0.5072,0.0,0.0667
appeal_to_ignorance,fairness_dominant,0.5069,0.0,0.0667
appeal_to_ignorance,high_moral,0.5071,0.0,0.0667
appeal_to_ignorance,inverted,0.5071,0.0,0.0667
appeal_to_ignorance,liberal_mft,0.5069,0.0,0.0667
appeal_to_ignorance,liberty_dominant,0.5069,0.0,0.0667
appeal_to_ignorance,low_moral,0.5069,0.0,0.0667
appeal_to_ignorance,loyalty_dominant,0.5069,0.0,0.0667
appeal_to_ignorance,sanctity_dominant,0.5071,0.0,0.0667
appeal_to_pity,authority_dominant,0.5219,0.0,0.1
appeal_to_pity,balanced_mft,0.5219,0.0,0.1
appeal_to_pity,care_dominant,0.5669,0.0,0.1
appeal_to_pity,conservative_mft,0.5227,0.0,0.1
appeal_to_pity,fairness_dominant,0.5219,0.0,0.1
appeal_to_pity,high_moral,0.5675,0.0,0.1
appeal_to_pity,inverted,0.5225,0.0,0.1
appeal_to_pity,liberal_mft,0.6123,0.0,0.1
appeal_to_pity,liberty_dominant,0.5219,0.0,0.1
appeal_to_pity,low_moral,0.5219,0.0,0.1
appeal_to_pity,loyalty_dominant,0.5219,0.0,0.1
appeal_to_pity,sanctity_dominant,0.5225,0.0,0.1
authority_endorsement,authority_dominant,0.5022,0.0,0.0
authority_endorsement,balanced_mft,0.4835,0.0,0.0
authority_endorsement,care_dominant,0.4835,0.0,0.0
authority_endorsement,conservative_mft,0.533,0.0,0.0
authority_endorsement,fairness_dominant,0.4835,0.0,0.0
authority_endorsement,high_moral,0.5167,0.0,0.0
authority_endorsement,inverted,0.5167,0.0,0.0
authority_endorsement,liberal_mft,0.4835,0.0,0.0
authority_endorsement,liberty_dominant,0.4835,0.0,0.0
authority_endorsement,low_moral,0.4835,0.0,0.0
authority_endorsement,loyalty_dominant,0.496,0.0,0.0
authority_endorsement,sanctity_dominant,0.4835,0.0,0.0
bandwagon,authority_dominant,0.4822,0.0,0.0667
bandwagon,balanced_mft,0.4822,0.0,0.0667
bandwagon,care_dominant,0.4822,0.0,0.0667
bandwagon,conservative_mft,0.5358,0.0,0.0667
bandwagon,fairness_dominant,0.4822,0.0,0.0667
bandwagon,high_moral,0.5216,0.0,0.0667
bandwagon,inverted,0.5197,0.0,0.0667
bandwagon,liberal_mft,0.484,0.0,0.0667
bandwagon,liberty_dominant,0.484,0.0,0.0667
bandwagon,low_moral,0.4822,0.0,0.0667
bandwagon,loyalty_dominant,0.5192,0.0,0.0667
bandwagon,sanctity_dominant,0.4826,0.0,0.0667
bandwagon_pressure,authority_dominant,0.5081,0.0,0.2
bandwagon_pressure,balanced_mft,0.5081,0.0,0.2
bandwagon_pressure,care_dominant,0.5081,0.0,0.2
bandwagon_pressure,conservative_mft,0.5596,0.0,0.2
bandwagon_pressure,fairness_dominant,0.5081,0.0,0.2
bandwagon_pressure,high_moral,0.5595,0.0,0.2
bandwagon_pressure,inverted,0.5537,0.0,0.2
bandwagon_pressure,liberal_mft,0.5138,0.0,0.2
bandwagon_pressure,liberty_dominant,0.5138,0.0,0.2
bandwagon_pressure,low_moral,0.5081,0.0,0.2
bandwagon_pressure,loyalty_dominant,0.5524,0.0,0.2
bandwagon_pressure,sanctity_dominant,0.5094,0.0,0.2
commitment_consistency,authority_dominant,0.5297,0.0,0.0
commitment_consistency,balanced_mft,0.5297,0.0,0.0
commitment_consistency,care_dominant,0.5297,0.0,0.0
commitment_consistency,conservative_mft,0.5297,0.0,0.0
commitment_consistency,fairness_dominant,0.5297,0.0,0.0
commitment_consistency,high_moral,0.5297,0.0,0.0
commitment_consistency,inverted,0.5297,0.0,0.0
commitment_consistency,liberal_mft,0.5297,0.0,0.0
commitment_consistency,liberty_dominant,0.5297,0.0,0.0
commitment_consistency,low_moral,0.5297,0.0,0.0
commitment_consistency,loyalty_dominant,0.5297,0.0,0.0
commitment_consistency,sanctity_dominant,0.5297,0.0,0.0
deceptive_information,authority_dominant,0.4912,0.0,0.1833
deceptive_information,balanced_mft,0.4912,0.0,0.1833
deceptive_information,care_dominant,0.4912,0.0,0.1833
deceptive_information,conservative_mft,0.5214,0.0,0.1833
deceptive_information,fairness_dominant,0.4912,0.0,0.1833
deceptive_information,high_moral,0.5209,0.0,0.1833
deceptive_information,inverted,0.5209,0.0,0.1833
deceptive_information,liberal_mft,0.4912,0.0,0.1833
deceptive_information,liberty_dominant,0.4912,0.0,0.1833
deceptive_information,low_moral,0.4912,0.0,0.1833
deceptive_information,loyalty_dominant,0.5197,0.0,0.1833
deceptive_information,sanctity_dominant,0.4924,0.0,0.1833
emotional_appeal_negative,authority_dominant,0.4773,0.0,0.0
emotional_appeal_negative,balanced_mft,0.4773,0.0,0.0
emotional_appeal_negative,care_dominant,0.5282,0.0,0.0
emotional_appeal_negative,conservative_mft,0.4773,0.0,0.0
emotional_appeal_negative,fairness_dominant,0.4773,0.0,0.0
emotional_appeal_negative,high_moral,0.5282,0.0,0.0
emotional_appeal_negative,inverted,0.4773,0.0,0.0
emotional_appeal_negative,liberal_mft,0.5659,0.0,0.0
emotional_appeal_negative,liberty_dominant,0.4773,0.0,0.0
emotional_appeal_negative,low_moral,0.4773,0.0,0.0
emotional_appeal_negative,loyalty_dominant,0.4773,0.0,0.0
emotional_appeal_negative,sanctity_dominant,0.4773,0.0,0.0
emotional_appeal_positive,authority_dominant,0.5828,0.0,0.0
emotional_appeal_positive,balanced_mft,0.5828,0.0,0.0
emotional_appeal_positive,care_dominant,0.6624,0.0,0.0
emotional_appeal_positive,conservative_mft,0.5828,0.0,0.0
emotional_appeal_positive,fairness_dominant,0.5828,0.0,0.0
emotional_appeal_positive,high_moral,0.6624,0.0,0.0
emotional_appeal_positive,inverted,0.5828,0.0,0.0
emotional_appeal_positive,liberal_mft,0.7295,0.0,0.0
emotional_appeal_positive,liberty_dominant,0.5828,0.0,0.0
emotional_appeal_positive,low_moral,0.5828,0.0,0.0
emotional_appeal_positive,loyalty_dominant,0.5828,0.0,0.0
emotional_appeal_positive,sanctity_dominant,0.5828,0.0,0.0
emotional_manipulation,authority_dominant,0.4894,0.2209,0.35
emotional_manipulation,balanced_mft,0.4894,0.2209,0.35
emotional_manipulation,care_dominant,0.5173,0.2209,0.35
emotional_manipulation,conservative_mft,0.4924,0.2301,0.35
emotional_manipulation,fairness_dominant,0.4894,0.2209,0.35
emotional_manipulation,high_moral,0.5299,0.2622,0.35
emotional_manipulation,inverted,0.4917,0.2277,0.35
emotional_manipulation,liberal_mft,0.5547,0.254,0.35
emotional_manipulation,liberty_dominant,0.4998,0.254,0.35
emotional_manipulation,low_moral,0.4894,0.2209,0.35
emotional_manipulation,loyalty_dominant,0.4894,0.2209,0.35
emotional_manipulation,sanctity_dominant,0.4917,0.2277,0.35
empathy_appeal,authority_dominant,0.5507,0.0,0.0
empathy_appeal,balanced_mft,0.5507,0.0,0.0
empathy_appeal,care_dominant,0.6094,0.0,0.0
empathy_appeal,conservative_mft,0.5507,0.0,0.0
empathy_appeal,fairness_dominant,0.5507,0.0,0.0
empathy_appeal,high_moral,0.6094,0.0,0.0
empathy_appeal,inverted,0.5507,0.0,0.0
empathy_appeal,liberal_mft,0.6661,0.0,0.0
empathy_appeal,liberty_dominant,0.5507,0.0,0.0
empathy_appeal,low_moral,0.5507,0.0,0.0
empathy_appeal,loyalty_dominant,0.5507,0.0,0.0
empathy_appeal,sanctity_dominant,0.5507,0.0,0.0
evidence_based,authority_dominant,0.4827,0.0,0.0
evidence_based,balanced_mft,0.4827,0.0,0.0
evidence_based,care_dominant,0.4827,0.0,0.0
evidence_based,conservative_mft,0.4827,0.0,0.0
evidence_based,fairness_dominant,0.4827,0.0,0.0
evidence_based,high_moral,0.4827,0.0,0.0
evidence_based,inverted,0.4827,0.0,0.0
evidence_based,liberal_mft,0.4827,0.0,0.0
evidence_based,liberty_dominant,0.4827,0.0,0.0
evidence_based,low_moral,0.4827,0.0,0.0
evidence_based,loyalty_dominant,0.4827,0.0,0.0
evidence_based,sanctity_dominant,0.4827,0.0,0.0
expert_testimony,authority_dominant,0.5005,0.0,0.0
expert_testimony,balanced_mft,0.4821,0.0,0.0
expert_testimony,care_dominant,0.4821,0.0,0.0
expert_testimony,conservative_mft,0.5308,0.0,0.0
expert_testimony,fairness_dominant,0.4821,0.0,0.0
expert_testimony,high_moral,0.5147,0.0,0.0
expert_testimony,inverted,0.5147,0.0,0.0
expert_testimony,liberal_mft,0.4821,0.0,0.0
expert_testimony,liberty_dominant,0.4821,0.0,0.0
expert_testimony,low_moral,0.4821,0.0,0.0
expert_testimony,loyalty_dominant,0.4944,0.0,0.0
expert_testimony,sanctity_dominant,0.4821,0.0,0.0
false_dilemma,authority_dominant,0.4836,0.0611,0.15
false_dilemma,balanced_mft,0.4836,0.0611,0.15
false_dilemma,care_dominant,0.4836,0.0611,0.15
false_dilemma,conservative_mft,0.4849,0.0623,0.15
false_dilemma,fairness_dominant,0.4836,0.0611,0.15
false_dilemma,high_moral,0.4928,0.0749,0.15
false_dilemma,inverted,0.4846,0.062,0.15
false_dilemma,liberal_mft,0.4917,0.0729,0.15
false_dilemma,liberty_dominant,0.4917,0.0729,0.15
false_dilemma,low_moral,0.4836,0.0611,0.15
false_dilemma,loyalty_dominant,0.4836,0.0611,0.15
false_dilemma,sanctity_dominant,0.4846,0.062,0.15
false_equivalence,authority_dominant,0.4888,0.0,0.1
false_equivalence,balanced_mft,0.4888,0.0,0.1
false_equivalence,care_dominant,0.4888,0.0,0.1
false_equivalence,conservative_mft,0.5023,0.0,0.1
false_equivalence,fairness_dominant,0.4888,0.0,0.1
false_equivalence,high_moral,0.5021,0.0,0.1
false_equivalence,inverted,0.5021,0.0,0.1
false_equivalence,liberal_mft,0.4888,0.0,0.1
false_equivalence,liberty_dominant,0.4888,0.0,0.1
false_equivalence,low_moral,0.4888,0.0,0.1
false_equivalence,loyalty_dominant,0.5014,0.0,0.1
false_equivalence,sanctity_dominant,0.4895,0.0,0.1
false_scarcity,authority_dominant,0.4808,0.0145,0.3
false_scarcity,balanced_mft,0.4808,0.0145,0.3
false_scarcity,care_dominant,0.4808,0.0145,0.3
false_scarcity,conservative_mft,0.4832,0.0182,0.3
false_scarcity,fairness_dominant,0.4808,0.0145,0.3
false_scarcity,high_moral,0.5077,0.0799,0.3
false_scarcity,inverted,0.4826,0.0169,0.3
false_scarcity,liberal_mft,0.5049,0.0707,0.3
false_scarcity,liberty_dominant,0.5049,0.0707,0.3
false_scarcity,low_moral,0.4808,0.0145,0.3
false_scarcity,loyalty_dominant,0.4808,0.0145,0.3
